State,Description,Plate Image,Source
CA,California - Legion of Valor,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/legionofvalor.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Livery - Seql,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/liveryseql.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Livery - ELP,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/liveryELP.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Antique Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/mcantique.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - MEMORIAL,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/memorial_150.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - MEMORIAL - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/memorial_mc.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Manufacturers - Block,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/MfgBlock.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Manufacturers - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/MfgMC.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Manufacturers - Sun,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/MfgSun.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Manufacturers - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/mfrblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,"California - Manufacturers - Motorcycle, Blue + Gold",![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/mfrmcblugld.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Manufacturers - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/mfrscript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Moped,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/moped.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Motorcycles,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/mot-1.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/)
CA,California - Motorcycles - Blue + Gold,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/mot-2.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/)
CA,"California - Olympic Games, 1984 - ELP",![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/olymgamesELP.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,"California - Olympic Games, 1984 - Motorcycle",![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/olymgamesmc.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
